tool	rank	metric	value
sylph	class	Shannon equitability	0.602776940357788
sylph	order	Shannon diversity	3.84564740074699
sylph	order	Shannon equitability	0.760573664492182
sylph	family	Shannon diversity	4.67935310759313
sylph	family	Shannon equitability	0.837505791076235
sylph	genus	Shannon diversity	5.76075290612953
sylph	genus	Shannon equitability	0.909091262809166
sylph	species	Shannon diversity	6.74042054790835
sylph	species	Shannon equitability	0.980244497317991
sylph	kingdom	True positives	2
sylph	kingdom	False negatives	0
sylph	kingdom	False positives	0
sylph	kingdom	Recall	1
sylph	kingdom	Purity	1
sylph	kingdom	F1 score	1
sylph	kingdom	Jaccard index	1
sylph	phylum	True positives	41
sylph	phylum	False negatives	0
sylph	phylum	False positives	0
sylph	phylum	Recall	1
sylph	phylum	Purity	1
sylph	phylum	F1 score	1
sylph	phylum	Jaccard index	1
sylph	class	True positives	69
sylph	class	False negatives	0
sylph	class	False positives	0
sylph	class	Recall	1
sylph	class	Purity	1
sylph	class	F1 score	1
sylph	class	Jaccard index	1
sylph	order	True positives	157
sylph	order	False negatives	0
sylph	order	False positives	0
sylph	order	Recall	1
sylph	order	Purity	1
sylph	order	F1 score	1
sylph	order	Jaccard index	1
sylph	family	True positives	267
sylph	family	False negatives	2
sylph	family	False positives	0
sylph	family	Recall	0.992565055762082
sylph	family	Purity	1
sylph	family	F1 score	0.996268656716418
sylph	family	Jaccard index	0.992565055762082
sylph	genus	True positives	565
sylph	genus	False negatives	4
sylph	genus	False positives	0
sylph	genus	Recall	0.992970123022847
sylph	genus	Purity	1
sylph	genus	F1 score	0.99647266313933
sylph	genus	Jaccard index	0.992970123022847
sylph	species	True positives	952
sylph	species	False negatives	48
sylph	species	False positives	17
sylph	species	Recall	0.952
sylph	species	Purity	0.982456140350877
sylph	species	F1 score	0.966988318943626
sylph	species	Jaccard index	0.936086529006883
sylph	kingdom	L1 norm error	0.00125121586513133
sylph	phylum	L1 norm error	0.0265485232946504
sylph	class	L1 norm error	0.0284280778013111
sylph	order	L1 norm error	0.0491682335294166
sylph	family	L1 norm error	0.062872843813497
sylph	genus	L1 norm error	0.0871389271438448
sylph	species	L1 norm error	0.179500253687528
sylph	phylum	Sum of abundances	1
sylph	class	Sum of abundances	1
sylph	order	Sum of abundances	1
sylph	family	Sum of abundances	1
sylph	genus	Sum of abundances	1
sylph	species	Sum of abundances	1
sylph	phylum	Taxon counts	41
sylph	class	Taxon counts	69
sylph	order	Taxon counts	157
sylph	family	Taxon counts	267
sylph	genus	Taxon counts	565
sylph	species	Taxon counts	969
