tool	community	rank	metric	value	tool2
metaphlan	marine4	family	Bray-Curtis distance	0.197538421413826	MetaPhlAn
metaphlan	marine4	genus	Bray-Curtis distance	0.225797746342001	MetaPhlAn
metaphlan	marine4	species	Bray-Curtis distance	0.283239989810904	MetaPhlAn
motus	marine4	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine4	phylum	Bray-Curtis distance	0.157728952900393	mOTUs
motus	marine4	class	Bray-Curtis distance	0.175267300625012	mOTUs
motus	marine4	order	Bray-Curtis distance	0.206043397265401	mOTUs
motus	marine4	family	Bray-Curtis distance	0.229652563968744	mOTUs
motus	marine4	genus	Bray-Curtis distance	0.28979370616181	mOTUs
motus	marine4	species	Bray-Curtis distance	0.458725250825247	mOTUs
kraken	marine4	kingdom	Bray-Curtis distance	0.000100000000000026	Kraken2
kraken	marine4	phylum	Bray-Curtis distance	0.124217243827702	Kraken2
kraken	marine4	class	Bray-Curtis distance	0.129990788280149	Kraken2
kraken	marine4	order	Bray-Curtis distance	0.171308248851975	Kraken2
kraken	marine4	family	Bray-Curtis distance	0.193552471288947	Kraken2
kraken	marine4	genus	Bray-Curtis distance	0.225078795458511	Kraken2
kraken	marine4	species	Bray-Curtis distance	0.242601238928478	Kraken2
sourmash	marine4	kingdom	Bray-Curtis distance	0	sourmash
sourmash	marine4	phylum	Bray-Curtis distance	0.111566164865272	sourmash
sourmash	marine4	class	Bray-Curtis distance	0.129957123046665	sourmash
sourmash	marine4	order	Bray-Curtis distance	0.156170462165498	sourmash
sourmash	marine4	family	Bray-Curtis distance	0.199246454049924	sourmash
sourmash	marine4	genus	Bray-Curtis distance	0.246656573197834	sourmash
sourmash	marine4	species	Bray-Curtis distance	0.380520207259955	sourmash
singlem	marine5	kingdom	Bray-Curtis distance	0.00120788668267087	SingleM
singlem	marine5	phylum	Bray-Curtis distance	0.0283919586965643	SingleM
singlem	marine5	class	Bray-Curtis distance	0.0313321529255753	SingleM
singlem	marine5	order	Bray-Curtis distance	0.0439403675619359	SingleM
singlem	marine5	family	Bray-Curtis distance	0.0488642166937894	SingleM
singlem	marine5	genus	Bray-Curtis distance	0.0627787711488226	SingleM
singlem	marine5	species	Bray-Curtis distance	0.162358000186482	SingleM
metaphlan	marine5	kingdom	Bray-Curtis distance	0	MetaPhlAn
metaphlan	marine5	phylum	Bray-Curtis distance	0.0538605622089356	MetaPhlAn
metaphlan	marine5	class	Bray-Curtis distance	0.0727974359383856	MetaPhlAn
metaphlan	marine5	order	Bray-Curtis distance	0.137979883978448	MetaPhlAn
metaphlan	marine5	family	Bray-Curtis distance	0.174864336422083	MetaPhlAn
metaphlan	marine5	genus	Bray-Curtis distance	0.201407635157179	MetaPhlAn
metaphlan	marine5	species	Bray-Curtis distance	0.275822696508145	MetaPhlAn
motus	marine5	kingdom	Bray-Curtis distance	0	mOTUs
motus	marine5	phylum	Bray-Curtis distance	0.0837879253251626	mOTUs
motus	marine5	class	Bray-Curtis distance	0.0969218682953143	mOTUs
motus	marine5	order	Bray-Curtis distance	0.168212071221336	mOTUs
motus	marine5	family	Bray-Curtis distance	0.193063909919568	mOTUs
motus	marine5	genus	Bray-Curtis distance	0.231766706669641	mOTUs
motus	marine5	species	Bray-Curtis distance	0.547399548694554	mOTUs
kraken	marine5	kingdom	Bray-Curtis distance	0.000110000000000049	Kraken2
kraken	marine5	phylum	Bray-Curtis distance	0.11459790429869	Kraken2
